"SalesOrderID","OrderDate","ShipDate","ShipMethod","CustomerID","CustomerName","Segment","CountryRegion","City","Province","PostalCode","Territory","ProductName","SubCategory","Category","Qty","UnitPrice","Sales","Discount","ProductCost","TotalCost","Profit"
43659,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,676,,Shop,United States,Austell,Georgia,"30106",Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0.0,5.7052,11.4104,-1.0373999999999999
43661,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,442,,Shop,Canada,Toronto,Ontario,M4B 1V5,Canada,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0.0,5.7052,22.8208,-2.0747999999999998
43662,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,227,,Shop,Canada,Toronto,Ontario,M4B 1V5,Canada,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43665,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,146,,Shop,United States,Seattle,Washington,"98104",Northwest,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0.0,5.7052,11.4104,-1.0373999999999999
43666,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,511,,Shop,United States,San Mateo,California,"94404",Southwest,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43668,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,514,,Shop,Canada,Richmond,British Columbia,V6B 3P7,Canada,"Road-150 Red, 56",Road Bikes,Bikes,2,2146.962,4293.924,0.0,2171.2942,4342.5884,-48.66439999999966
43668,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,514,,Shop,Canada,Richmond,British Columbia,V6B 3P7,Canada,AWC Logo Cap,Caps,Clothing,4,5.1865,20.746,0.0,5.7052,22.8208,-2.0747999999999998
43671,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,200,,Shop,United States,Port Orchard,Washington,"98366",Northwest,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43673,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,618,,Shop,United States,Plaistow,New Hampshire,"03865",Northeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0.0,5.7052,5.7052,-0.5186999999999999
43675,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,670,,Shop,United States,Odessa,Missouri,"64076",Central,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0.0,5.7052,11.4104,-1.0373999999999999
43677,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,679,,Shop,Canada,Montreal,Quebec,H1Y 2H3,Canada,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43677,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,679,,Shop,Canada,Montreal,Quebec,H1Y 2H3,Canada,AWC Logo Cap,Caps,Clothing,5,5.1865,25.9325,0.0,5.7052,28.525999999999996,-2.5934999999999953
43678,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,203,,Shop,United States,Monrovia,California,"91016",Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0.0,5.7052,17.1156,-1.5561000000000007
43680,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,491,,Shop,United States,Modesto,California,"95354",Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2,2146.962,4293.924,0.0,2171.2942,4342.5884,-48.66439999999966
43680,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,491,,Shop,United States,Modesto,California,"95354",Southwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0.0,5.7052,17.1156,-1.5561000000000007
43681,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,423,,Shop,United States,Biloxi,Mississippi,"39530",Southeast,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43681,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,423,,Shop,United States,Biloxi,Mississippi,"39530",Southeast,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0.0,5.7052,11.4104,-1.0373999999999999
43683,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,506,,Shop,United States,Casper,Wyoming,"82601",Northwest,AWC Logo Cap,Caps,Clothing,3,5.1865,15.5595,0.0,5.7052,17.1156,-1.5561000000000007
43688,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,161,,Shop,United States,Fort Wayne,Indiana,"46807",Northeast,"Road-150 Red, 56",Road Bikes,Bikes,2,2146.962,4293.924,0.0,2171.2942,4342.5884,-48.66439999999966
43689,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,166,,Shop,United States,Garland,Texas,"75040",Southwest,"Road-150 Red, 56",Road Bikes,Bikes,1,2146.962,2146.962,0.0,2171.2942,2171.2942,-24.33219999999983
43690,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,431,,Shop,United States,Holland,Michigan,"49423",Central,AWC Logo Cap,Caps,Clothing,2,5.1865,10.373,0.0,5.7052,11.4104,-1.0373999999999999
43692,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,221,,Shop,United States,Las Cruces,New Mexico,"88001",Southwest,AWC Logo Cap,Caps,Clothing,6,5.1865,31.119,0.0,5.7052,34.2312,-3.1122000000000014
43692,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,221,,Shop,United States,Las Cruces,New Mexico,"88001",Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2,2146.962,4293.924,0.0,2171.2942,4342.5884,-48.66439999999966
43694,2001-07-01 00:00:00.000,2001-07-08 00:00:00.000,CARGO TRANSPORT 5,315,,Shop,United States,Merritt Island,Florida,"32952",Southeast,AWC Logo Cap,Caps,Clothing,1,5.1865,5.1865,0.0,5.7052,5.7052,-0.5186999999999999
